name_long,name_short,skl_code,county,muni_group,fa_region,neighbours
Örnsköldsviks kommun,Örnsköldsvik,2284,Västernorrlands län,Varuproducerande kommuner,Skövde,"Nordmaling,Bjurholm,Kramfors,Åsele,Sollefteå"
Orsa kommun,Orsa,2034,Dalarnas län,Kommuner i tätbefolkad region,Skövde,"Rättvik,Härjedalen,Mora,Ljusdal"
Orust kommun,Orust,1421,Västra Götalands län,Förortskommuner till större städer,Karlstad,"Stenungsund,Uddevalla,Tjörn,Lysekil"
Osby kommun,Osby,1273,Skåne län,Kommuner i glesbefolkad region,Eda,"Hässleholm,Kristianstad,Olofström,Östra Göinge,Älmhult,Markaryd"
Oskarshamns kommun,Oskarshamn,0882,Kalmar län,Glesbygdkommuner,Torsby,"Mönsterås,Högsby,Hultsfred,Vimmerby,Västervik"
Österåkers kommun,Österåker,0117,Stockholms län,Pendlingskommuner,Karlskoga,"Vallentuna,Norrtälje,Täby,Vaxholm"
Östersunds kommun,Östersund,2380,Jämtlands län,Förortskommuner till större städer,Karlstad,"Berg,Krokom,Bräcke,Strömsund,Ragunda"
Östhammars kommun,Östhammar,0382,Uppsala län,Varuproducerande kommuner,Karlstad,"Tierp,Uppsala,Norrtälje"
Östra Göinge kommun,Östra Göinge,1256,Skåne län,Förortskommuner till större städer,Karlstad,"Hässleholm,Kristianstad,Olofström,Osby"
Ovanåkers kommun,Ovanåker,2121,Gävleborgs län,Varuproducerande kommuner,Karlstad,"Rättvik,Ljusdal,Falun,Bollnäs"
Överkalix kommun,Överkalix,2513,Norrbottens län,Glesbygdkommuner,Årjäng,"Luleå,Boden,Gällivare,Övertorneå,Kalix,Pajala"
Övertorneå kommun,Övertorneå,2518,Norrbottens län,Kommuner i glesbefolkad region,Karlstad,"Haparanda,Kalix,Överkalix,Pajala"
Oxelösunds kommun,Oxelösund,0481,Södermanlands län,Större städer,Karlstad,Nyköping
Pajala kommun,Pajala,2521,Norrbottens län,Kommuner i tätbefolkad region,Karlstad,"Kiruna,Gällivare,Övertorneå,Överkalix"
Partille kommun,Partille,1402,Västra Götalands län,Varuproducerande kommuner,Filipstad,"Göteborg,Härryda,Lerum"
Perstorps kommun,Perstorp,1275,Skåne län,Varuproducerande kommuner,Hagfors,"Hässleholm,Örkelljunga,Klippan"
Piteå kommun,Piteå,2581,Norrbottens län,Varuproducerande kommuner,Karlstad,"Arvidsjaur,Skellefteå,Luleå,Boden,Älvsbyn"
Ragunda kommun,Ragunda,2303,Jämtlands län,Kommuner i tätbefolkad region,Karlstad,"Östersund,Bräcke,Sundsvall,Strömsund,Sollefteå"
Rättviks kommun,Rättvik,2031,Dalarnas län,Förortskommuner till större städer,Örebro,"Orsa,Leksand,Mora,Ljusdal,Ovanåker,Falun"
Robertsfors kommun,Robertsfors,2409,Västerbottens län,Varuproducerande kommuner,Örebro,"Skellefteå,Umeå"
Ronneby kommun,Ronneby,1081,Blekinge län,Pendlingskommuner,Örebro,"Karlshamn,Emmaboda,Tingsryd,Karlskrona"
Säffle kommun,Säffle,1785,Värmlands län,Pendlingskommuner,Karlskoga,"Åmål,Bengtsfors,Arvika,Årjäng,Grums"
Sala kommun,Sala,1981,Västmanlands län,Kommuner i tätbefolkad region,Hällefors,"Heby,Enköping,Norberg,Fagersta,Surahammar,Västerås,Sandviken,Avesta"
Salems kommun,Salem,0128,Stockholms län,Varuproducerande kommuner,Ludvika,"Södertälje,Botkyrka,Ekerö"
Sandvikens kommun,Sandviken,2181,Gävleborgs län,Större städer,Örebro,"Heby,Sala,Ockelbo,Hofors,Gävle,Avesta,Falun"
Säters kommun,Säter,2082,Dalarnas län,Förortskommuner till större städer,Örebro,"Ludvika,Smedjebacken,Hofors,Falun,Borlänge,Hedemora"
Sävsjö kommun,Sävsjö,0684,Jönköpings län,Varuproducerande kommuner,Örebro,"Vetlanda,Växjö,Alvesta,Nässjö,Vaggeryd,Värnamo"
Sigtuna kommun,Sigtuna,0191,Stockholms län,Varuproducerande kommuner,Karlskoga,"Upplands Väsby,Upplands-Bro,Vallentuna,Knivsta,Håbo,Uppsala,Norrtälje"
Simrishamns kommun,Simrishamn,1291,Skåne län,Pendlingskommuner,Örebro,"Kristianstad,Ystad,Tomelilla"
Sjöbo kommun,Sjöbo,1265,Skåne län,Varuproducerande kommuner,Örebro,"Eslöv,Lund,Ystad,Tomelilla,Hörby,Skurup"
Skara kommun,Skara,1495,Västra Götalands län,Pendlingskommuner,Fagersta,"Götene,Vara,Lidköping,Skövde,Falköping"
Skellefteå kommun,Skellefteå,2482,Västerbottens län,Pendlingskommuner,Västerås,"Arvidsjaur,Vindeln,Norsjö,Piteå,Robertsfors,Umeå"
Skinnskattebergs kommun,Skinnskatteberg,1904,Västmanlands län,Pendlingskommuner,Västerås,"Lindesberg,Smedjebacken,Fagersta,Köping,Surahammar"
Skövde kommun,Skövde,1496,Västra Götalands län,Pendlingskommuner,Västerås,"Götene,Skara,Mariestad,Töreboda,Tibro,Hjo,Falköping,Tidaholm"
Skurups kommun,Skurup,1264,Skåne län,Pendlingskommuner,Fagersta,"Trelleborg,Lund,Svedala,Ystad,Sjöbo"
Smedjebackens kommun,Smedjebacken,2061,Dalarnas län,Större städer,Västerås,"Ludvika,Lindesberg,Ljusnarsberg,Norberg,Fagersta,Skinnskatteberg,Säter,Hedemora"
Söderhamns kommun,Söderhamn,2182,Gävleborgs län,Kommuner i tätbefolkad region,Västerås,"Ockelbo,Gävle,Hudiksvall,Bollnäs"
Söderköpings kommun,Söderköping,0582,Östergötlands län,Varuproducerande kommuner,Fagersta,"Valdemarsvik,Åtvidaberg,Norrköping,Linköping"
Södertälje kommun,Södertälje,0181,Stockholms län,Varuproducerande kommuner,Västerås,"Trosa,Nykvarn,Botkyrka,Salem,Gnesta"
Sollefteå kommun,Sollefteå,2283,Västernorrlands län,Varuproducerande kommuner,Västerås,"Härnösand,Timrå,Sundsvall,Kramfors,Örnsköldsvik,Dorotea,Åsele,Strömsund,Ragunda"
Sollentuna kommun,Sollentuna,0163,Stockholms län,Glesbygdkommuner,Vansbro,"Upplands Väsby,Järfälla,Sundbyberg,Stockholm,Täby,Danderyd,Solna"
Solna stad,Solna,0184,Stockholms län,Turism- och besöksnäringskommuner,Malung,"Sollentuna,Sundbyberg,Stockholm,Danderyd"
Sölvesborgs kommun,Sölvesborg,1083,Blekinge län,Pendlingskommuner,Falun/Borlänge,"Olofström,Bromölla,Karlshamn"
Sorsele kommun,Sorsele,2422,Västerbottens län,Kommuner i tätbefolkad region,Falun/Borlänge,"Arvidsjaur,Malå,Lycksele,Storuman,Arjeplog"
Sotenäs kommun,Sotenäs,1427,Västra Götalands län,Turism- och besöksnäringskommuner,Falun/Borlänge,"Munkedal,Tanum,Lysekil"
Staffanstorps kommun,Staffanstorp,1230,Skåne län,Pendlingskommuner,Mora,"Lomma,Burlöv,Lund,Malmö,Svedala"
Stenungsunds kommun,Stenungsund,1415,Västra Götalands län,Turism- och besöksnäringskommuner,Mora,"Kungälv,Uddevalla,Orust,Lilla Edet"
Stockholms stad,Stockholm,0180,Stockholms län,Pendlingskommuner,Ludvika,"Sollentuna,Järfälla,Sundbyberg,Ekerö,Lidingö,Nacka,Tyresö,Huddinge,Danderyd,Solna"
Storfors kommun,Storfors,1760,Värmlands län,Kommuner i glesbefolkad region,Mora,"Karlstad,Kristinehamn,Degerfors,Karlskoga,Hällefors,Filipstad"
Storumans kommun,Storuman,2421,Västerbottens län,Större städer,Falun/Borlänge,"Lycksele,Sorsele,Vilhelmina"
Strängnäs kommun,Strängnäs,0486,Södermanlands län,Kommuner i tätbefolkad region,Falun/Borlänge,"Nykvarn,Eskilstuna,Flen,Gnesta"
Strömstads kommun,Strömstad,1486,Västra Götalands län,Pendlingskommuner,Falun/Borlänge,Tanum
Strömsunds kommun,Strömsund,2313,Jämtlands län,Kommuner i tätbefolkad region,Avesta,"Krokom,Östersund,Vilhelmina,Dorotea,Sollefteå,Ragunda"
Sundbybergs stad,Sundbyberg,0183,Stockholms län,Varuproducerande kommuner,Avesta,"Sollentuna,Stockholm,Solna"
Sundsvalls kommun,Sundsvall,2281,Västernorrlands län,Varuproducerande kommuner,Ludvika,"Ånge,Nordanstig,Bräcke,Härnösand,Timrå,Sollefteå,Ragunda"
Sunne kommun,Sunne,1766,Värmlands län,Pendlingskommuner,Gävle,"Arvika,Forshaga,Munkfors,Torsby,Kil,Hagfors"
Surahammars kommun,Surahammar,1907,Västmanlands län,Varuproducerande kommuner,Gävle,"Fagersta,Skinnskatteberg,Köping,Sala,Västerås,Hallstahammar"
Svalövs kommun,Svalöv,1214,Skåne län,Varuproducerande kommuner,Söderhamn,"Eslöv,Kävlinge,Helsingborg,Bjuv,Landskrona,Klippan,Åstorp"
Svedala kommun,Svedala,1263,Skåne län,Glesbygdkommuner,Hudiksvall,"Trelleborg,Burlöv,Staffanstorp,Lund,Malmö,Vellinge,Skurup"
Svenljunga kommun,Svenljunga,1465,Västra Götalands län,Glesbygdkommuner,Ljusdal,"Borås,Falkenberg,Mark,Varberg,Tranemo,Gislaved"
Täby kommun,Täby,0160,Stockholms län,Större städer,Gävle,"Upplands Väsby,Sollentuna,Vallentuna,Österåker,Danderyd"
Tanums kommun,Tanum,1435,Västra Götalands län,Varuproducerande kommuner,Gävle,"Munkedal,Sotenäs,Strömstad,Dals-Ed"
Tibro kommun,Tibro,1472,Västra Götalands län,Kommuner i glesbefolkad region,Söderhamn,"Töreboda,Karlsborg,Skövde,Hjo"
Tidaholms kommun,Tidaholm,1498,Västra Götalands län,Kommuner i glesbefolkad region,Söderhamn,"Skövde,Hjo,Falköping,Mullsjö,Habo"
Tierps kommun,Tierp,0360,Uppsala län,Kommuner i glesbefolkad region,Hudiksvall,"Heby,Östhammar,Älvkarleby,Uppsala,Gävle"
Timrå kommun,Timrå,2262,Västernorrlands län,Glesbygdkommuner,Sundsvall,"Härnösand,Sundsvall,Sollefteå"
Tingsryds kommun,Tingsryd,0763,Kronobergs län,Förortskommuner till större städer,Sundsvall,"Olofström,Karlshamn,Ronneby,Emmaboda,Lessebo,Växjö,Alvesta,Älmhult"
Tjörns kommun,Tjörn,1419,Västra Götalands län,Kommuner i glesbefolkad region,Sundsvall,Orust
Tomelilla kommun,Tomelilla,1270,Skåne län,Större städer,Sundsvall,"Simrishamn,Kristianstad,Ystad,Hörby,Sjöbo"
Töreboda kommun,Töreboda,1473,Västra Götalands län,Kommuner i glesbefolkad region,Kramfors,"Mariestad,Karlsborg,Tibro,Skövde,Gullspång,Laxå"
Torsås kommun,Torsås,0834,Kalmar län,Glesbygdkommuner,Sollefteå,"Emmaboda,Karlskrona,Kalmar"
Torsby kommun,Torsby,1737,Värmlands län,Större städer,Örnsköldsvik,"Arvika,Sunne,Malung-Sälen,Hagfors"
Tranås kommun,Tranås,0687,Jönköpings län,Glesbygdkommuner,Östersund,"Boxholm,Ydre,Ödeshög,Aneby,Jönköping"
Tranemo kommun,Tranemo,1452,Västra Götalands län,Glesbygdkommuner,Östersund,"Borås,Svenljunga,Ulricehamn,Gislaved,Jönköping"
Trelleborgs kommun,Trelleborg,1287,Skåne län,Pendlingskommuner,Östersund,"Lund,Svedala,Vellinge,Skurup"
Trollhättans stad,Trollhättan,1488,Västra Götalands län,Glesbygdkommuner,Östersund,"Uddevalla,Vänersborg,Alingsås,Ale,Lilla Edet,Essunga,Grästorp"
Trosa kommun,Trosa,0488,Södermanlands län,Turism- och besöksnäringskommuner,Östersund,"Södertälje,Gnesta,Nyköping"
Tyresö kommun,Tyresö,0138,Stockholms län,Turism- och besöksnäringskommuner,Östersund,"Nacka,Stockholm,Huddinge,Haninge"
Uddevalla kommun,Uddevalla,1485,Västra Götalands län,Turism- och besöksnäringskommuner,Härjedalen,"Munkedal,Stenungsund,Lysekil,Orust,Färgelanda,Vänersborg,Trollhättan,Lilla Edet"
Ulricehamns kommun,Ulricehamn,1491,Västra Götalands län,Större städer,Östersund,"Borås,Herrljunga,Tranemo,Falköping,Mullsjö,Jönköping"
Umeå kommun,Umeå,2480,Västerbottens län,Glesbygdkommuner,Umeå,"Vindeln,Nordmaling,Skellefteå,Robertsfors,Vännäs"
Upplands Väsby kommun,Upplands Väsby,0114,Stockholms län,Pendlingskommuner,Umeå,"Upplands-Bro,Sollentuna,Järfälla,Vallentuna,Sigtuna,Täby"
Upplands-Bro kommun,Upplands-Bro,0139,Stockholms län,Glesbygdkommuner,Umeå,"Upplands Väsby,Järfälla,Ekerö,Sigtuna,Håbo"
Uppsala kommun,Uppsala,0380,Uppsala län,Glesbygdkommuner,Umeå,"Heby,Östhammar,Knivsta,Sigtuna,Håbo,Tierp,Enköping,Norrtälje"
Uppvidinge kommun,Uppvidinge,0760,Kronobergs län,Varuproducerande kommuner,Skellefteå,"Lessebo,Vetlanda,Växjö,Nybro,Högsby,Hultsfred"
Vadstena kommun,Vadstena,0584,Östergötlands län,Varuproducerande kommuner,Lycksele,"Motala,Mjölby,Ödeshög"
Vaggeryds kommun,Vaggeryd,0665,Jönköpings län,Turism- och besöksnäringskommuner,Storuman,"Nässjö,Sävsjö,Värnamo,Gnosjö,Gislaved,Jönköping"
Valdemarsviks kommun,Valdemarsvik,0563,Östergötlands län,Glesbygdkommuner,Sorsele,"Västervik,Söderköping,Åtvidaberg"
Vallentuna kommun,Vallentuna,0115,Stockholms län,Turism- och besöksnäringskommuner,Dorotea,"Upplands Väsby,Sigtuna,Österåker,Norrtälje,Täby"
Vänersborgs kommun,Vänersborg,1487,Västra Götalands län,Pendlingskommuner,Umeå,"Uddevalla,Mellerud,Färgelanda,Trollhättan,Lilla Edet,Grästorp,Lidköping"
Vännäs kommun,Vännäs,2460,Västerbottens län,Glesbygdkommuner,Vilhelmina,"Vindeln,Nordmaling,Bjurholm,Umeå"
Vansbro kommun,Vansbro,2021,Dalarnas län,Glesbygdkommuner,Åsele,"Ludvika,Leksand,Mora,Malung-Sälen,Filipstad,Gagnef"
Vara kommun,Vara,1470,Västra Götalands län,Större städer,Umeå,"Skara,Herrljunga,Essunga,Grästorp,Lidköping,Falköping"
Varbergs kommun,Varberg,1383,Hallands län,Kommuner i glesbefolkad region,Lycksele,"Svenljunga,Falkenberg,Mark,Kungsbacka"
Vårgårda kommun,Vårgårda,1442,Västra Götalands län,Större städer,Skellefteå,"Borås,Bollebygd,Alingsås,Herrljunga,Essunga"
Värmdö kommun,Värmdö,0120,Stockholms län,Kommuner i glesbefolkad region,Arvidsjaur,Nacka
Värnamo kommun,Värnamo,0683,Jönköpings län,Turism- och besöksnäringskommuner,Arjeplog,"Alvesta,Ljungby,Sävsjö,Vaggeryd,Gnosjö,Gislaved"
Västerås stad,Västerås,1980,Västmanlands län,Turism- och besöksnäringskommuner,Jokkmokk,"Enköping,Köping,Sala,Surahammar,Hallstahammar"
Västerviks kommun,Västervik,0883,Kalmar län,Glesbygdkommuner,Överkalix,"Oskarshamn,Vimmerby,Valdemarsvik,Åtvidaberg,Kinda"
Vaxholms stad,Vaxholm,0187,Stockholms län,Kommuner i glesbefolkad region,Luleå,"Lidingö,Österåker"
Växjö kommun,Växjö,0780,Kronobergs län,Glesbygdkommuner,Övertorneå,"Lessebo,Uppvidinge,Vetlanda,Tingsryd,Alvesta,Sävsjö"
Vellinge kommun,Vellinge,1233,Skåne län,Glesbygdkommuner,Pajala,"Trelleborg,Malmö,Svedala"
Vetlanda kommun,Vetlanda,0685,Jönköpings län,Varuproducerande kommuner,Gällivare,"Uppvidinge,Eksjö,Växjö,Högsby,Hultsfred,Nässjö,Sävsjö"
Vilhelmina kommun,Vilhelmina,2462,Västerbottens län,Kommuner i glesbefolkad region,Luleå,"Lycksele,Storuman,Dorotea,Åsele,Strömsund"
Vimmerby kommun,Vimmerby,0884,Kalmar län,Större städer,Luleå,"Eksjö,Oskarshamn,Hultsfred,Västervik,Kinda,Ydre"
Vindelns kommun,Vindeln,2404,Västerbottens län,Kommuner i glesbefolkad region,Luleå,"Norsjö,Bjurholm,Lycksele,Skellefteå,Umeå,Vännäs"
Vingåkers kommun,Vingåker,0428,Södermanlands län,Kommuner i glesbefolkad region,Luleå,"Finspång,Katrineholm,Örebro"
Ydre kommun,Ydre,0512,Östergötlands län,Kommuner i glesbefolkad region,Haparanda,"Eksjö,Vimmerby,Boxholm,Kinda,Tranås,Aneby"
Ystads kommun,Ystad,1286,Skåne län,Kommuner i glesbefolkad region,Kiruna,"Simrishamn,Tomelilla,Sjöbo,Skurup"
